cust_id,lookalikes
C0001,"[('C0152', 0.9991953050425915), ('C0174', 0.9979451014782899), ('C0011', 0.9961242904852086)]"
C0002,"[('C0134', 0.9966312057656763), ('C0007', 0.9948274128591479), ('C0159', 0.9943162821931681)]"
C0003,"[('C0031', 0.9983742585028575), ('C0076', 0.9966962106207098), ('C0129', 0.9964808000033136)]"
C0004,"[('C0108', 0.9981289021622486), ('C0155', 0.9955983783543855), ('C0165', 0.9954316397602608)]"
C0005,"[('C0159', 0.9999856116866019), ('C0007', 0.998963528144772), ('C0002', 0.9939592136682405)]"
C0006,"[('C0003', 0.9939455607046311), ('C0126', 0.9895337801049753), ('C0076', 0.9879628350415228)]"
C0007,"[('C0159', 0.99917240909197), ('C0005', 0.998963528144772), ('C0040', 0.9954981103875231)]"
C0008,"[('C0024', 0.9873150308026197), ('C0194', 0.98626362559512), ('C0098', 0.9824729786082438)]"
C0009,"[('C0197', 0.9920923926096767), ('C0061', 0.9898480527700463), ('C0132', 0.9890706034354054)]"
C0010,"[('C0199', 0.9998101408332858), ('C0062', 0.997125312277967), ('C0132', 0.9968361705042874)]"
C0011,"[('C0107', 0.9994865960906777), ('C0174', 0.9982850689070204), ('C0001', 0.9961242904852086)]"
C0012,"[('C0013', 0.9977152077699436), ('C0195', 0.995321156003487), ('C0087', 0.9941855054301618)]"
C0013,"[('C0087', 0.99915373807007), ('C0012', 0.9977152077699436), ('C0126', 0.9926274422788046)]"
C0014,"[('C0063', 0.983768538965737), ('C0089', 0.97302781564483), ('C0009', 0.9099447642365186)]"
C0015,"[('C0050', 0.9800370182800493), ('C0042', 0.9778692647733618), ('C0144', 0.9655522179943641)]"
C0016,"[('C0183', 0.9999108290118573), ('C0030', 0.9957918331175496), ('C0026', 0.9942429712343911)]"
C0017,"[('C0051', 0.9967849136611526), ('C0041', 0.9950582511869398), ('C0075', 0.9923938061140358)]"
C0018,"[('C0026', 0.9888883254995207), ('C0035', 0.9863626088097325), ('C0183', 0.983872539083301)]"
C0019,"[('C0199', 0.9888473654548956), ('C0010', 0.9887728416138395), ('C0037', 0.9868526265593588)]"
C0020,"[('C0033', 0.9961261227355961), ('C0058', 0.9917808744873834), ('C0144', 0.9399801130834283)]"
C0021,"[('C0145', 0.9988642222517125), ('C0173', 0.9956886983886489), ('C0090', 0.9931215813650272)]"
C0022,"[('C0090', 0.9977426574508825), ('C0200', 0.9949219051032818), ('C0021', 0.9899196567693562)]"
C0023,"[('C0070', 0.9860246471848074), ('C0037', 0.985051527421666), ('C0019', 0.9737311085720731)]"
C0024,"[('C0194', 0.9985592168441046), ('C0189', 0.991262048828946), ('C0067', 0.9901822260424926)]"
C0025,"[('C0192', 0.9987208908135289), ('C0152', 0.9924999545084706), ('C0001', 0.99234626482249)]"
C0026,"[('C0183', 0.9951984833820305), ('C0016', 0.9942429712343911), ('C0030', 0.9924519387225377)]"
C0027,"[('C0106', 0.9976023728620296), ('C0043', 0.9926346783937795), ('C0088', 0.990595944627157)]"
C0028,"[('C0143', 0.9977773953178748), ('C0054', 0.9968127140771107), ('C0093', 0.9947057896055621)]"
C0029,"[('C0079', 0.9897052472854566), ('C0131', 0.9771652546507369), ('C0176', 0.9748736563642277)]"
C0030,"[('C0157', 0.998866438683807), ('C0183', 0.9960107763437358), ('C0016', 0.9957918331175496)]"
C0031,"[('C0003', 0.9983742585028575), ('C0129', 0.9966500557389889), ('C0076', 0.9963705452549552)]"
C0032,"[('C0129', 0.9921886861466859), ('C0031', 0.9921824148905913), ('C0003', 0.985556248595946)]"
C0033,"[('C0020', 0.9961261227355961), ('C0058', 0.9857049163701141), ('C0144', 0.9384640409965466)]"
C0034,"[('C0030', 0.9944473741835383), ('C0016', 0.9940905528099082), ('C0183', 0.9932793877521928)]"
C0035,"[('C0036', 0.9934432314787445), ('C0026', 0.9918568756503383), ('C0018', 0.9863626088097325)]"
C0036,"[('C0035', 0.9934432314787445), ('C0026', 0.9891838731931983), ('C0157', 0.9827693409255884)]"
C0037,"[('C0019', 0.9868526265593588), ('C0023', 0.985051527421666), ('C0199', 0.9838472059293225)]"
C0038,"[('C0160', 0.9998922445696588), ('C0176', 0.9904730368557337), ('C0131', 0.9901500034936058)]"
C0039,"[('C0048', 0.9977956055847342), ('C0190', 0.9918799074154003), ('C0195', 0.9823926284077817)]"
C0040,"[('C0007', 0.9954981103875231), ('C0159', 0.9908555684176789), ('C0005', 0.9902308034689825)]"
C0041,"[('C0051', 0.9996997135594803), ('C0017', 0.9950582511869398), ('C0170', 0.9893003505383798)]"
C0042,"[('C0125', 0.9956319957364959), ('C0131', 0.9852499378052952), ('C0176', 0.9793831177867132)]"
C0043,"[('C0027', 0.9926346783937795), ('C0088', 0.9851926389434384), ('C0106', 0.9833409675030458)]"
C0044,"[('C0167', 0.9902897606862224), ('C0127', 0.9739983146550828), ('C0064', 0.9736484399316906)]"
C0045,"[('C0162', 0.9966546007715694), ('C0173', 0.9929380948156978), ('C0175', 0.989087708351772)]"
C0046,"[('C0154', 0.9928292236886871), ('C0059', 0.9906814257091063), ('C0194', 0.9898762130336229)]"
C0047,"[('C0034', 0.9903446469505095), ('C0049', 0.9896356751517431), ('C0030', 0.9895663132217298)]"
C0048,"[('C0039', 0.9977956055847342), ('C0190', 0.9936422128215135), ('C0187', 0.9764010265870479)]"
C0049,"[('C0047', 0.9896356751517431), ('C0098', 0.9823232243787723), ('C0008', 0.9754201351595021)]"
C0050,"[('C0015', 0.9800370182800493), ('C0072', 0.9785339288170736), ('C0144', 0.9709046705363539)]"
C0051,"[('C0041', 0.9996997135594803), ('C0017', 0.9967849136611526), ('C0081', 0.9913104512713088)]"
C0052,"[('C0191', 0.9951407280171611), ('C0137', 0.9938266912618523), ('C0077', 0.982005030227967)]"
C0053,"[('C0179', 0.9952321876510116), ('C0100', 0.9914795654526247), ('C0086', 0.9897692928415579)]"
C0054,"[('C0028', 0.9968127140771107), ('C0143', 0.9915306971475648), ('C0093', 0.986510276716265)]"
C0055,"[('C0116', 0.9972828482219576), ('C0154', 0.996856743999374), ('C0117', 0.9949959904181344)]"
C0056,"[('C0177', 0.9958626423328288), ('C0146', 0.9915136211586837), ('C0178', 0.9913076853966143)]"
C0057,"[('C0081', 0.9939685641542463), ('C0182', 0.9933883399412996), ('C0114', 0.9928292716728401)]"
C0058,"[('C0020', 0.9917808744873834), ('C0033', 0.9857049163701141), ('C0015', 0.9476054173225364)]"
C0059,"[('C0046', 0.9906814257091063), ('C0194', 0.9847761115856868), ('C0024', 0.9813608074234336)]"
C0060,"[('C0198', 0.9682243959575402), ('C0073', 0.9459200630965686), ('C0062', 0.9379744271062544)]"
C0061,"[('C0197', 0.9998422450975227), ('C0132', 0.9995120786194757), ('C0062', 0.9978401858750695)]"
C0062,"[('C0132', 0.9993787271376487), ('C0061', 0.9978401858750695), ('C0197', 0.9977852139045722)]"
C0063,"[('C0089', 0.9932413533413281), ('C0014', 0.983768538965737), ('C0009', 0.9450136092647397)]"
C0064,"[('C0127', 0.9895997700599443), ('C0149', 0.9864156722920439), ('C0170', 0.9839259802027085)]"
C0065,"[('C0156', 0.9847368986503781), ('C0059', 0.9725333374035489), ('C0008', 0.9599095091430154)]"
C0066,"[('C0044', 0.9614338890671423), ('C0105', 0.9520653649866501), ('C0069', 0.9467771348442034)]"
C0067,"[('C0024', 0.9901822260424926), ('C0189', 0.9893739393657756), ('C0034', 0.9837120197014831)]"
C0068,"[('C0156', 0.9689787032617393), ('C0139', 0.9537988418989343), ('C0125', 0.945451510451029)]"
C0069,"[('C0037', 0.9770866289756852), ('C0019', 0.9741525756575241), ('C0064', 0.9711432642090866)]"
C0070,"[('C0073', 0.9935016798409049), ('C0199', 0.9883828500261174), ('C0010', 0.9860989093743644)]"
C0071,"[('C0112', 0.9992583779408937), ('C0083', 0.9976184023055316), ('C0095', 0.9874087700362456)]"
C0072,"[('C0050', 0.9785339288170736), ('C0047', 0.9648838779605002), ('C0018', 0.9645150814836456)]"
C0073,"[('C0062', 0.997450109825951), ('C0132', 0.9952278029830758), ('C0199', 0.9948786268921429)]"
C0074,"[('C0135', 0.9965143916059402), ('C0166', 0.9961115016413732), ('C0196', 0.9916830536258796)]"
C0075,"[('C0017', 0.9923938061140358), ('C0051', 0.9887423199510448), ('C0041', 0.9877369255980255)]"
C0076,"[('C0003', 0.9966962106207098), ('C0031', 0.9963705452549552), ('C0129', 0.9879634392260728)]"
C0077,"[('C0095', 0.9822682139584299), ('C0052', 0.982005030227967), ('C0133', 0.9756176543933549)]"
C0078,"[('C0110', 0.9987817511835098), ('C0080', 0.9684819113739981), ('C0097', 0.9534970467441143)]"
C0079,"[('C0029', 0.9897052472854566), ('C0160', 0.9755870608124524), ('C0038', 0.9745675342275216)]"
C0080,"[('C0097', 0.996000870898531), ('C0110', 0.9795254241850644), ('C0128', 0.9758766848731587)]"
C0081,"[('C0057', 0.9939685641542463), ('C0017', 0.9913664641717702), ('C0051', 0.9913104512713088)]"
C0082,"[('C0188', 0.9984250377416292), ('C0104', 0.9967552851412813), ('C0102', 0.9946002616549291)]"
